資料比對,分機號碼,線組編號,使用單位,裝機位置,分機種類,副機數量,G450 Port,對應DID號碼,拆遷記錄,備註
,2560,6,Y6T,W6、Y6設計大樓三樓組長室,甲機,1,021V815,0,,組長
●,2119,    G - 71,A25,消防隊辦公室、值班室、安管中心、Y91,甲機,3,001V202,0,,1030919-更顯示型類比話機-
,2244, OG1 - 21,W511,供電中心,甲機,1,100V204,0,1000920增1副,
,6819, OG1 - 22,W5,能源調度中心一樓（W511）,甲機,0,100V322,0,99.05.19裝,緊急指揮中心
,2265, OG1 - 23,W512,能源調度中心,甲機,1,100V208,0,1000920增1副,
,5533,1F - 19,A33,一行105R,甲機,0,011V702,8051588,,
,5157,1F - 22,A33,一行105R,甲機,0,011V622,8051053,,DID:8051517；可撥國際
,5551,1F - 23,A33,一行105R,甲機,0,013V312,8051052,,
,5742,1F - 29,A33,一行105R,甲機,0,001V507,0,,
,3080,"1F - 41
1F - 53",A31,一行113室,甲機,3,001V319,8051113,94.03.15遷,組長，DID：8051113
,2704,1F - 42,A3,一行105、101,乙機,1,001V311,0,,會客室(公關在使用)
,6000,1F - 49,A22,總機室,甲機,0,001V509,0,,
,3532,1F - 59,A30,一行114室,甲機,0,001V404,8051114,,"DID：8051114_x000D_
汪文軍"
,2575,1F - 60,A31,一行112、113室,甲機,1,001V224,8051117,94.03.15遷,DID：8051117
,6107,1F - 65,A31,一行113室、114室,甲機,1,001V513,0,90.12.31改A0使用；93.09.02遷,
,3551,"1F - 66
1F - 79",A3,一行111,甲機,0,003V103,8051112,94.05.18遷；98.07.09遷；1010313拆1副,1030919-更數位話機-DID：8051112
,2126,1F - 71,A31,一行樓113室、114室,甲機,2,001V215,8051040,93.09.02增副,DID：8051040
,2117,1F - 73,A31,一行樓113室,甲機,1,001V213,8051006,,
,2196,"1F - 74
1F - 76",A32,一行109室,甲機,0,001V218,8051115,106.01.17拆1副；,106.01.17拆1副給5688用
,2651,1F - 75,A31,一行112室,甲機,0,001V306,0,,
,2127,1F - 77,A32,一行1F-109室,甲機,0,001V216,8051118,1021015拆1副,DID：8051118
,3555,1F - 78,A32,一行109室,甲機,0,001V408,8051119,,組長，DID：8051119
,5689,1F - 81,A33,一行1F/109室,甲機,0,001V506,8051576,1031215遷移；991027新裝；1010302遷,DID:8051576
,3552,1F - 82,A32,一行109室,甲機,0,001V407,8051116,991112增1副,DID：8051116
,5688,1F - 85,A33,一行1F/110室,甲機,2,001V505,8051120,106.01.17增1副；991027新裝；1010302遷；1021015加1副,共3支話機
,6911,1F - 99,中保,一行一樓/CCTV,甲機,0,001V519,0,,中保電話影像傳輸CCTV
,6538,230A2 - 114,Y94,二行5樓526R,甲機,0,012V215,0,,
●,5104,210F - 16,W564,單身宿舍254室,甲機,0,005V506,0,93.06.08新裝；97.02.14遷,
●,2234,210F - 19,A23,單身宿舍管理室、監視櫃台,甲機,1,004V219,0,91.12.09增副；94.09.23遷副,
●,2238,210F - 23,A23,單身宿舍一樓D區,乙機,0,004V223,0,,
●,3468,"210F - 24
330K1 - 6",W164,電修休息室(#10電氣室1F)、單身宿舍249、250室,甲機,2,005V307,0,97.02.14遷,
●,2236,210F - 26,A23,單身宿舍一樓A區、服務台,乙機,1,004V221,0,96.09.10增副,
●,5669,210F - 28,Y469,14F單舍261室(機電值班室),甲機,0,006V209,0,991022新裝,
●,5670,210F - 30,Y469,14F單舍263室(機電值班室),甲機,0,006V210,0,991022新裝,
●,5102,210F - 43,W565,單身宿舍253室,甲機,0,005V505,0,93.06.08新裝；97.02.14遷,
●,5101,210F - 45,W563,單身宿舍252室,甲機,0,005V504,0,93.06.08新裝；97.02.14遷,
●,5544,210F - 49,A23,單身宿舍一樓閱報室,乙機,0,014V513,0,106.01.23申乙無副；,
●,6112,"210F - 53
330F1 - 64",Y6P3,NO.1熱軋程控電腦室/單身宿舍258室,甲機,2,006V301,0,100.02.10於14F/258室增1副,值勤人員
●,2828,"210F - 6
330F1 - 285",Y6P3,Y6P3辦公室/單身257室,甲機,1,004V518,0,96.03.19遷；97.02.14遷,值勤人員
●,3286,"210F - 61
BOF - 611",Y6P2,煉鋼二廠電腦室/四樓辦公室、電腦室,甲機,2,108V614,0,96.08.03增副1；97.02.14遷,
●,3497,210F - 62,A23,單身宿舍地下一樓機車停車場安全門管制點門口,甲機,0,005V312,0,97.02.15更移；99.03.26遷,防颱；原單身宿舍1410
●,3498,210F - 63,A23,單身宿舍一樓汽車停車場安全門管制點門口,甲機,0,005V313,0,97.02.15更移；99.03.26遷,防颱；原單身宿舍1411
●,3496,210F - 64,A23,單身宿舍C區大廳門口,甲機,0,005V311,0,97.02.15更移,防颱；原單身宿舍1409
●,2223,210F - 66,A22,調度室、安管中心,甲機,2,004V213,0,,
●,2224,210F - 70,A22,調度室及增副,乙機,2,004V214,0,94.10.19增副,
●,2242,210F - 9,A23,單身宿舍宵夜部、福委會會議室,乙機,1,004V302,0,96.02.01宵遷,
,2302,220D1 - 1,T43,化驗室一樓,甲機,1,013V416,0,,
,2408,220D1 - 100,W442,W442副課長辦公室、W442表面處理課長室,甲機,2,013V516,0,97.02.14更甲,
,3242,220D1 - 102,W622,銅模程控室、銅模加工區,甲機,1,014V107,0,1020116由Y62讓給W622並增1副,
,3816,220D1 - 103,W622,銅模場辦公室+會議室,甲機,2,014V403,0,105.07.21增1副；1020116由Y62讓給W622-2話機一併轉讓,共2副機
,2412,220D1 - 104,W445,W445辦公室、廠內,乙機,2,013V520,0,98.10.06遷；99.01.27遷,
,5523,220D1 - 105,W445,W445課長辦公室,甲機,2,002V213,0,,
,5644,220D1 - 106,W445,W445領班室、軸休室,甲機,1,014V614,0,99.01.27新裝,
,6382,220D1 - 107,w622,W622銅模廠辦公室2F,甲機,0,020V522,8051057,107.12.04 裝機,
,3601,220D1 - 109,W622,W622輥輪銅模場,甲機,1,005V324,0,1060209增甲+1副；,
,6138,220D1 - 111,W622,輥輪銅模課辦公室/廢水站二樓新辦公室,乙機,1,014V618,0,1050707遷移；104.09.14遷移；,
,2272,220D1 - 112,W622,輥輪股廢水站2F辦公室/鋼模、輥輪再生工場,甲機,2,013V412,0,1050707遷移+1副；,W622課長
,6500,220D1 - 113,W445,W445辦公室,甲機,0,012V101,0,,
,3001,220D1 - 116,W622,銅模電鍍工場一樓辦公室、電鍍區、休息室,甲機,2,013V722,0,1020124遷1副,
,6502,220D1 - 117,W445,W445辦公室1F,甲機,0,012V103,0,,
,5672,220D1 - 118,W622,輥輪股廢水站2F辦公室/輥輪銅模工場熔射室,甲機,2,014V521,0,1050707遷移；104.03.06增1副；104.02.09增1副；104.02.04遷移；99.03.02新裝,
,5204,220D1 - 12,T432,化學試驗組101室,甲機,0,014V422,8051024,94.03.08新裝；原中龍96.04.02拆；96.05.22裝於T432,FAX:8051024
,5529,220D1 - 121,W622,鍍鉻產線辦公室、化驗室,乙機,0,022V419,0,105.11.02遷移；97.06.25新裝,與5462互換
,5415,220D1 - 122,W511,11KV GKA S/S 3F變電站,乙機,0,014V508,0,95.10.16裝,
,5149,220D1 - 13,T43,T43大樓301室,甲機,2,023V812,0,103.10.13增甲+2副；,
,2742,220D1 - 131,W442,表面處理股長室、OS11,乙機,2,013V708,0,97.02.29增副,
,3428,220D1 - 133,W464,三階機械維護室,乙機,0,014V203,0,,
,2731,"220D1 - 136
220D1 - 83",W442,W442表面處理課長室、表面處理股長室,甲機,2,013V706,0,,
,3433,"220D1 - 138
220D1 - 91",W464,三階電氣室一樓、二樓、燒除電氣室,乙機,2,014V204,0,,
,5288,220D1 - 139,W442,表面處理檢驗台OS10,乙機,1,014V502,0,95.03.13裝,
,6151,220D1 - 14,T43,化驗室二樓,甲機,1,014V620,0,,組長
,3443,220D1 - 140,W442,表面處理檢驗台OS3,乙機,1,014V205,0,,
,2491,"220D1 - 146
530A - 145",W6C1,BOP煉鋼變電所北,甲機,2,013V614,0,,W6C1課長
,2413,"220D1 - 148
530A - 146",W6C1,煉鋼變電所北側,乙機,2,013V521,0,,檢修一課
,2217,220D1 - 149,W511,一號煉鋼變電所、二號煉鋼變電所（5KB1/2）,乙機,1,013V406,0,96.02.26增副,
,6024,220D1 - 152,W54,氧氣一場休息室,乙機,0,014V606,0,,
,6261,220D1 - 154,W561,氧氣工場機械換修一課休息室-工具房*1,乙機,1,014V624,0,103.11.10增1副；,
,2627,220D1 - 155,W561,氧氣一場機械維護辦公室,甲機,1,013V622,0,,
,2282,220D1 - 158,W54,氧氣一場控制室,甲機,0,013V413,0,,
,3362,220D1 - 159,W565,氧氣一場儀電維護工房,乙機,0,014V119,0,,
,6634,220D1 - 16,T432,主分析室（煤焦分析）一樓,乙機,0,017V204,0,,
,6650,220D1 - 161,W541,氧氣二場2F辦公室課長室,甲機,0,017V209,0,,
,3385,220D1 - 162,W565,氧二場W566辦公室(*2)、氧二場W566 SHOP,甲機,2,014V122,0,103.10.02申無線話機*1；1010927增2副,
,3764,220D1 - 163,W561,氧氣二場工房,乙機,0,014V318,0,,
,6087,220D1 - 164,W54,氧氣三場控制室,甲機,1,015V101,0,,
,2286,220D1 - 167,W54,氧氣工場主任室,甲機,1,014V116,0,,主任
,2283,220D1 - 169,W54,氧氣工場課長室,甲機,1,013V414,0,1051104增1副；1010213拆1副,
,5554,220D1 - 170,W54,氧氣三場控制室,甲機,0,014V515,0,98.03.13新裝,
,6010,220D1 - 172,W54,氧氣二場二樓辦公室,甲機,0,014V605,8051527,,FAX:8051527
,6454,220D1 - 173,W54,氧氣工場辦公室,甲機,2,014V710,0,,
,3859,220D1 - 174,W54,W54辦公室,甲機,0,014V408,0,,
,3874,220D1 - 175,V10,氧氣三場二樓氧九辦公室,甲機,0,014V410,0,92.11.05遷；94.03.07遷,
,6058,220D1 - 176,W561,氧氣三場二樓機械維護辦公室,甲機,1,014V612,0,94.12.06增副；1020426更甲,
,3535,220D1 - 177,C1,,未分類,0,002V202,0,,
,6057,220D1 - 178,W561,氧氣二場機械維護辦公室,甲機,1,014V611,0,,
,6510,220D1 - 179,W566,氧二場2F,甲機,1,012V111,0,,
,6721,220D1 - 180,W541,氧氣三場2F辦公室東北角會議室,甲機,1,009V205,0,,
,5686,220D1 - 181,W566,氧氣3場控制室北側/氧氣3場8號機工作間、副機設於氧三W566辦公室、氧二場W566辦公室,乙機,2,014V523,0,105.08.02申遷；103.10.02遷移；99.11.17新裝；1000823增1副；1010927增1副,
,3855,220D1 - 183,W566,氧氣三場二樓（德顧問）,甲機,2,014V407,0,91.09.26新裝；1000823更為甲線；1010927增1副,
,6055,220D1 - 184,W54,氧氣工場電腦室,甲機,0,014V610,0,95.03.13遷,
,5219,220D1 - 185,V64,氧氣三場二樓(庫房),甲機,0,014V424,0,94.03.07新裝,
,6455,220D1 - 186,W54,氧氣工場辦公室,甲機,1,014V711,0,95.03.13遷,
,3373,220D1 - 187,W565,氧二場W566辦公室(*2),甲機,2,014V121,0,103.10.02申無線話機*1；98.03.24增副1,
,5718,220D1 - 188,W541,氧氣場課長使用,甲機,1,014V524,0,1010208新裝；1020731增1副,
,3088,220D1 - 189,W54,氧氣二場控制室,甲機,1,014V101,0,,
,3255,220D1 - 17,T431,化驗室三樓儀器化學分析室,甲機,1,014V109,0,,
,5568,220D1 - 191,W516,1號氧氣場新建電器室3F,甲機,0,014V518,0,,
,3074,220D1 - 192,W54,氧氣一場休息室,乙機,0,013V723,0,92.04.17拆控；92.07.22新裝；97.01.14遷,
,6141,220D1 - 2,T432,T43大樓208室（維修小組）,甲機,2,014V619,0,,
,2981,220D1 - 18,T431,化驗室三樓濕式化學分析室,甲機,1,013V720,0,,
,3123,220D1 - 21,T432,T43大樓205室（儀電維修）,甲機,0,014V103,0,,
,3824,220D1 - 22,T432,二樓課長辦公室,甲機,2,014V405,0,,
,3448,220D1 - 31,T431,T431辦公室,甲機,2,014V206,0,96.06.08增副,
,3584,220D1 - 32,T431,化驗室三樓,甲機,0,014V310,0,,傳真機
,6282,220D1 - 4,T431,化驗室二樓,甲機,2,014V703,0,92.06.25新裝,
,2729,220D1 - 43,W354,一廠新待命室,甲機,2,013V704,0,94.09.08遷；991112增1副,
,6044,220D1 - 44,W354,一廠待命室,乙機,0,014V609,0,,傳真機
,3263,220D1 - 45,W362,轉爐機保輪班室,乙機,1,014V110,0,93.01.07增副,
,2741,220D1 - 46,W362,轉爐機保室、派工間,甲機,2,013V707,0,91.10.21增副；94.05.23增副,
,3427,220D1 - 47,W362,轉爐機保辦公室,甲機,2,014V202,0,93.01.07增副；94.05.23增副,
,2799,220D1 - 48,W354,第一待命室(舊W3大樓北側),乙機,1,018V604,0,,
,2204,220D1 - 49,W3S1,W3一廠公共浴室,乙機,0,022V807,0,104.06.01申乙；1030508拆除；91.09.26增副；92.09.23拆副；96.03.05遷；97.03.28遷；97.08.29遷,原使用者表示常被撥錯
,2200,220D1 - 5,T432,主分析室1F,甲機,2,013V404,0,,
,2414,220D1 - 53,W442,儲存區值班室、OS7,甲機,2,013V522,0,,
,2425,220D1 - 55,W441,加熱爐操作室,乙機,0,013V607,0,,
,2495,220D1 - 56,W441,大鋼胚進料室,乙機,1,013V618,0,,
,2422,220D1 - 57,W441,OS-3 粗軋機操作室,乙機,0,013V605,0,,
,5545,220D1 - 59,W442,小鋼胚內外搬外售間,甲機,0,014V514,0,97.08.07新裝,
,5940,220D1 - 6,T431,T43大樓302-303室,甲機,1,002V316,0,103.09.15申1甲1副；,
,6583,220D1 - 61,Y9,W441西邊廠房外煙囪監測站,甲機,0,024V217,0,,
,5127,220D1 - 7,T432,主分析室（煤焦分析）一樓,甲機,1,014V420,0,93.09.03裝、93.11.29更甲,
,3398,220D1 - 75,W464,小鋼胚新除鏽電氣室,乙機,0,014V124,0,96.03.05裝,
,5373,220D1 - 76,W464,小鋼胚電氣股長室,甲機,1,014V506,0,94.12.05裝,
,5374,220D1 - 77,W464,小鋼胚LEVEL-1,甲機,1,014V507,0,94.12.05裝,
,2221,220D1 - 78,W464,W464電氣值班室、二樓會議室,甲機,1,013V408,0,94.12.05遷及增副,
,2992,220D1 - 8,T432,主分析室一F（煉鋼廠專線）,乙機,2,013V721,0,93.09.03增副；96.12.06增副,
,2764,220D1 - 81,W44,W4辦公大樓副主任室,甲機,0,013V710,0,,
,3766,220D1 - 82,W464,機電股長室,甲機,0,014V319,0,,
,2532,220D1 - 84,W464,W464課長、副課長辦公室,甲機,1,013V619,0,,
,3767,220D1 - 85,W441,小鋼胚燒除機操作室,乙機,0,014V320,0,,
,6495,220D1 - 86,W464,小鋼胚冷卻床二樓辦公室,甲機,0,014V714,0,,
,2415,220D1 - 88,W44A,W44副主任辦公室,甲機,0,013V523,8051105,,DID:8051105
,6453,220D1 - 89,W464,水冷床電氣室及預熱爐電氣室,乙機,1,014V709,0,,
,6296,220D1 - 90,W441,精軋員操作室,乙機,0,014V705,0,95.04.24增副,
,6742,220D1 - 92,W441,W44辦公大樓二樓會議室旁工程師室,甲機,1,009V319,0,,配線架已跳線
,6276,220D1 - 93,W441,小鋼胚新冷卻床操作室-OS5控制室,乙機,1,014V702,0,1040821增1副；94.07.07遷,
,6378,220D1 - 94,W44,小鋼胚冷卻床二樓辦公室,甲機,0,020V518,0,,
,3461,220D1 - 95,W441,W441股長室二樓、會議室,乙機,0,014V208,0,104.10.08更話機；92.06.02增副；94.04.13增副機,傳真機
,2257,220D1 - 96,W464,W464機械維護室,甲機,1,013V409,0,90.11.16裝、90.11.26將取消裝設,
,2404,220D1 - 97,W44,W44主任辦公室,甲機,0,013V512,0,,
,2401,220D1 - 98,W441,W441課長室二樓,甲機,1,013V510,0,,
,6746,220D1 - 99,W441,W44大樓1F鋼堡辦公室,乙機,0,009V412,0,,
,3929,220G1 - 1,T11,研究大樓103室,甲機,0,023V515,0,,
,6601,220G1 - 10,T1S,T1大樓3F 301室,甲機,1,002V403,0,,
,2055,220G1 - 101,C346,25庫中控室,乙機,0,022V802,0,102.12.17申乙,
,6070,220G1 - 102,T6S,T6二樓219,甲機,1,023V705,0,,MODEN、室長
,3579,220G1 - 103,T6S,T6大樓 2F 237室,甲機,0,016V210,8051569,,
,2888,220G1 - 104,T6,T6 216、218,甲機,1,023V108,8051201,103.10.30改無線話機(副機)(處長需求)；103.04.15增1副；,DID:8051201、處長
,6522,220G1 - 105,T610,T6研究大樓 3F 327R (氣體偵測自動撥號),甲機,0,012V123,8051152,,
,3586,220G1 - 106,T61,T6 336室,甲機,2,023V419,0,95.01.09遷；96.11.12增副,
,3244,220G1 - 107,T61,320室,甲機,1,023V216,0,,
,3581,220G1 - 109,T62,T6 133室,甲機,0,023V417,0,98.07.21遷,
,6101,220G1 - 11,T10,研究大樓205室,甲機,0,023V707,8051093,,傳真機  8051093
,5160,220G1 - 110,T61,T6大樓 1F 127R,甲機,2,023V522,0,93.06.07裝；991228更為甲種及增1副,
,5776,220G1 - 111,T61,T6一綜109室,乙機,0,023V623,0,100.05.09新裝,
,3420,220G1 - 112,T61,T6-305∼309走廊,甲機,0,023V315,0,,
,3216,220G1 - 114,T61,T6-325室,甲機,1,023V213,0,93.09.15遷；94.02.25遷；96.05.31拆；96.12.04新裝,原V93
,3577,220G1 - 115,T61,T6 319,甲機,1,023V414,0,,室長
,3342,220G1 - 116,T62,T6 大樓121室*2支,甲機,1,023V305,0,1020329增1副,室長
,3802,220G1 - 117,T62,T6大樓 1F 127R,甲機,1,023V503,0,1010607增1副,
,3453,220G1 - 118,,,未分類,0,023V322,0,,
,6102,220G1 - 119,T6,T6 218,甲機,0,023V708,8051107,,傳真機  8051107
,2990,220G1 - 12,T11,研究大樓128室,甲機,0,023V205,0,,
,2378,220G1 - 120,T62,T6 225室,甲機,0,022V811,0,98.07.21遷及拆副,組長
,3432,220G1 - 121,T62,T6 123室,甲機,1,023V317,0,1010607增1副,
,3315,220G1 - 122,T62,T6 232B室、西側（二樓）,甲機,1,023V301,8051281,91.11.20增副,DID:8051281
,5170,220G1 - 123,T6S,一綜202室,乙機,0,023V524,0,93.07.07裝,
,3582,220G1 - 124,T61,T6 318室,甲機,1,023V418,0,,
,2199,220G1 - 125,T62,T6 201室及走廊,甲機,1,022V806,0,,
,2362,220G1 - 126,T6S,221室；,甲機,0,022V810,0,100.02.17增1副；1020220拆1副,組長
,3484,220G1 - 128,T6S,一綜201室、工場,甲機,2,023V405,0,,室長
,3353,220G1 - 129,T61,T6 315,甲機,0,023V306,0,,組長
,2887,220G1 - 13,T11,研究大樓229室,甲機,2,023V107,0,103.05.13遷移；103.30.20遷移；95.05.10遷及增副2部,
,6533,220G1 - 130,T62,T6大樓 227A室,甲機,0,012V210,0,,
,3455,220G1 - 131,T60,T6 218,甲機,0,023V323,0,,
,3567,220G1 - 132,T61,T6 321室,甲機,1,023V411,0,,
,3486,220G1 - 133,T61,T6 314室,甲機,0,023V407,0,,
,3481,220G1 - 134,T61,T6 325室,甲機,0,023V403,0,,
,5983,220G1 - 135,T62,T6大樓236室,甲機,1,023V702,0,1020220新裝,
,2607,"220G1 - 136
330P - 108",T1S,T42培育工場EAR控制室/T1S2熔軋工場206室,乙機,1,022V819,0,102.11.15新裝,
,6952,220G1 - 137,T62,T6研究大樓235室,甲機,0,023V807,0,100.10.17吳茂盛,
,3575,220G1 - 138,T6S,T6 217室,甲機,0,023V412,0,,
,3576,220G1 - 139,T61,T6 316室,甲機,1,023V413,0,94.12.20裝副；95.01.09遷副,室長
,3529,220G1 - 14,T11C,T11C-3F-315-310實驗室,乙機,1,018V119,0,104.09.29申乙+1副；,
,2043,220G1 - 140,T61,T6大樓337室,甲機,1,017V315,0,104.12.11申甲；,
,6942,220G1 - 142,T6,T6大樓220室,甲機,1,023V806,8051537,103.01.29申1甲；,103.04.10新申DID:8051537副處長室(1030201升任)
,3485,220G1 - 143,T64,T6 102室及105室、104,甲機,2,023V406,0,96.08.14更甲及遷；96.10.03增副1,
,3337,220G1 - 144,T6S,新材料215、219室,甲機,1,023V303,0,,
,3587,220G1 - 145,T64,T6 113、106室,甲機,2,023V420,0,1041117-增1副；96.10.03遷副,
,6605,220G1 - 146,T61,T61 一綜西側門口警報器,甲機,0,002V407,0,,
,3563,220G1 - 147,T62,T6 、230室,甲機,1,007V311,0,1010607增1副；1020220拆1副,室長
,6233,220G1 - 148,T61,T6一綜104、105室,乙機,1,023V712,0,94.06.30更乙,
,3580,220G1 - 149,T64,T6 111、102室,甲機,1,023V416,0,,室長
,2866,220G1 - 15,T11,研究大樓106室,乙機,0,023V104,0,,
,3937,220G1 - 150,T62,T6 232B室,甲機,0,023V517,0,98.07.21遷,
,6653,220G1 - 151,T13,T1製程大樓312室,甲機,2,008V317,0,,
,3479,220G1 - 152,T61,T6  317室,甲機,1,023V402,0,94.12.22裝副,室長
,3387,220G1 - 153,T12,製程工場124A室-124B室,甲機,1,023V311,0,103.04.22增1副；,
,2978,220G1 - 154,T13,製程大樓312室,甲機,1,023V202,0,,
,3807,220G1 - 155,T12,製程工場213室/製程工場224室、324室,甲機,1,023V505,0,103.04.22遷移；92.02.22遷並增副,
,5607,220G1 - 156,T71,T1製程大樓136實驗室,甲機,0,022V707,0,,
,2911,220G1 - 157,T13,製程大樓313A室,甲機,0,023V112,0,,組長
,5517,220G1 - 158,T421,吸附劑工場1F,乙機,0,007V706,0,,
,3599,220G1 - 159,T13,製程大樓321室,甲機,0,023V423,0,,
,5441,220G1 - 16,T1S,研究大樓203室,甲機,0,023V609,0,95.11.22裝,
,5649,220G1 - 160,T1S,T1製程工場小軋機實驗室,乙機,0,023V619,0,99.07.28新裝,
,2591,220G1 - 164,T12,製程工場208室/製程大樓221室,甲機,0,022V817,0,103.04.22遷移；92.02.22遷；92.04.09拆副,組長
,3369,220G1 - 166,T12,製程工場223室,甲機,1,023V308,0,103.04.22異動單位增1副；99.01.12拆副2,
,3950,220G1 - 167,T13,T1碳還原試驗控制室,甲機,0,023V603,0,104.01.07增甲；,
,5945,220G1 - 168,T421,培育工場202、吹付材工場,甲機,0,011V706,0,1031124遷移；1030508更號；1000714新裝及加1副,
,3367,220G1 - 169,T12,製程工場203室,甲機,0,023V307,0,103.04.22異動單位；99.02.09遷,
,2933,220G1 - 170,T1S,三綜工場203室,甲機,0,023V117,0,,
,3380,220G1 - 171,T12,製程工場225室,甲機,1,023V310,0,103.04.22異動單位增1副；93.08.02拆副；1001221遷,
,2912,220G1 - 172,T12,製程工場214室/製程大樓225室,甲機,1,023V113,0,103.04.22遷移；93.10.21增副；94.05.27增副,
,3822,220G1 - 173,T13,製程大樓309室,甲機,0,023V507,0,,
,2922,220G1 - 174,T13,製程大樓311室,甲機,2,023V115,0,97.07.04增副,
,3312,220G1 - 177,T13,製程大樓304室,甲機,0,023V224,0,,
,3990,220G1 - 178,T11,三綜實驗工場105、205,甲機,1,023V519,0,92.01.17新裝並增副,
,3890,220G1 - 179,W322,處理劑製造廠,甲機,1,023V509,0,,
,2923,220G1 - 181,T1S,T1機械加工工場305室,甲機,1,023V116,0,94.03.28增副,
,2864,220G1 - 182,T13,T1製程大樓323室,甲機,1,002V222,0,104.03.27增甲+1副,
,2842,220G1 - 183,T13,T1製程大樓324室,甲機,0,022V616,0,104.03.27增甲；,
,2395,220G1 - 184,T12,製程大樓222室,甲機,1,022V812,0,92.02.27遷；94.05.27增副,
,6019,220G1 - 185,T13,製程大樓325室,甲機,2,023V703,0,104.03.27增1副；104.03.27遷移；94.12.23增副,
,3462,220G1 - 187,T12,製程工場212室/製程工場325,甲機,2,023V324,0,103.04.22遷移；96.08.22拆控；96.10.23新裝；1010706增1副,吳泰雯、原V10；原V20
,2144,220G1 - 188,T13,T1製程大樓302室,甲機,0,013V218,0,104.03.27增甲；,
,6290,220G1 - 189,T1S,T1機械加工場 201室,甲機,1,023V713,0,105.03.02增1副；94.04.19更T1S,原T13
,6501,220G1 - 19,T130,T1 物料工廠 1F 111A,乙機,0,012V102,0,,
,2998,220G1 - 191,T1S,T1機械加工場 102室、202室,甲機,1,023V206,0,92.11.20遷,
,2149,220G1 - 192,T13,T1製程大樓313室,甲機,0,020V318,0,104.03.27增甲；,
,5109,220G1 - 193,T1S,T1機械加工場 102室、203室、202室,甲機,2,023V520,0,93.09.07新裝,
,6812,220G1 - 196,T12,製程工場209室/製程大樓202室、123室、熔軋實驗工場112室,甲機,1,023V721,0,103.04.22遷移增1副；92.02.22增副；96.06.07增副；98.04.01遷,日籍顧問
,2209,220G1 - 198,T12,製程工場210室/製程大樓223室,甲機,2,022V808,0,103.04.22遷移；92.02.22遷,
,6021,220G1 - 2,T11,研究大樓221室,甲機,0,023V704,0,103.05.13遷移；103.03.25申遷；,
,3451,220G1 - 20,T1S,熔軋工場209室、206B,甲機,2,023V321,0,,
,3672,"220G1 - 200
230A2 - 64",T160,T1製程123室(馬達動力實驗室),甲機,0,005V613,0,103.06.25增甲；,
,2956,220G1 - 22,T18,研究大樓120、313室,甲機,1,023V122,0,99.04.23更單位及增副,
,6606,220G1 - 23,T1S,T1大樓門口邊(防疫用),乙機,0,002V408,0,,
,2945,220G1 - 24,T64,T1大樓320、328室,甲機,1,023V120,0,103.03.07申遷；,
,6734,220G1 - 25,T1S0,T1研究大樓212室,甲機,2,009V220,0,,
,6461,220G1 - 28,T18,T1研究大樓308室,甲機,2,023V718,0,93.06.08遷,室長
,2811,220G1 - 29,T1S,二行3F-B01室x1-二行317室x1/研究大樓212室,甲機,2,022V823,0,103.04.15遷1副；103.03.20遷移；91.05.06更甲；96.07.27增副；97.05.05遷,
,5854,220G1 - 3,T1S,T1研究大樓231辦公室,甲機,0,013V315,0,105.06.30申甲+1副；,
,2977,220G1 - 30,T11,研究大樓126室、SEM實驗室,甲機,0,023V201,0,,
,3442,220G1 - 31,T18,T1研究大樓309室,甲機,0,023V318,0,104.03.25遷；94.11.23遷；99.04.23遷,
,3390,220G1 - 34,T1S,二行3F-317室x1-二行B10x1/研究大樓212室,甲機,1,023V313,0,103.04.15遷1副；103.03.20遷移；97.05.05遷,
,6592,220G1 - 35,T1S,T1研究大樓209室,甲機,0,024V302,0,,
,2833,220G1 - 37,T1S,熔軋工場206、熔軋工場熔煉作業區及201室,甲機,2,023V101,0,,
,6735,220G1 - 38,T1S2,T1S2熔軋工場206室,乙機,1,009V301,0,,配線架已跳線
,2822,220G1 - 4,T1A,研究大樓205室、203B室,甲機,1,022V824,8051023,,T1副處長
,2989,220G1 - 41,T1S,T1研究大樓2F-214室、2F-212室、2F-216室,甲機,2,023V204,0,103.09.11遷103.08.18遷移；103.03.20遷移；91.06.19遷；1011217增2副,組長
,2966,220G1 - 42,T13,物料工場二樓,甲機,1,023V123,0,,
,2955,220G1 - 43,T62,物料實驗工場209室、一樓實驗室,甲機,1,023V121,0,97.02.29增副,耐火材料檢驗
,2944,220G1 - 44,T13,物料工場一樓,甲機,0,023V119,0,,
,3007,220G1 - 45,T11,研究大樓230室,甲機,0,023V208,0,103.05.13遷移；103.03.25申遷；91.03.19遷,組長
,6712,220G1 - 46,T75,T1大樓3F 328室,甲機,1,008V823,0,,2022/09/29新增
,5631,220G1 - 5,T11C,T1研究大樓313室,甲機,1,024V316,0,1060210增1副；1031120申甲；,
,5532,220G1 - 52,T1S,熔軋工場1XX室,甲機,0,023V614,0,97.05.09新裝,
,5506,220G1 - 54,T11,T1大樓313室,甲機,1,023V612,0,1040206確定遷移；103.10.13遷移增2副；103.05.13遷移；103.03.25申遷；97.08.06新裝及副1；99.07.26遷,
,2920,220G1 - 55,T1,二行3F-317室/研究大樓209室、205室,甲機,1,023V114,8051204,103.03.20遷移；,DID:8051204-(無線話機)
,5431,220G1 - 56,T11,研究大樓-222辦公室,甲機,2,023V608,0,105.06.30遷移；104.08.14增1副；103.05.13遷移；103.03.25申遷；95.10.24裝；1000812增1副,
